lemma,lemma_freq,lemma_len,n_forms
blood,28036740.0,5,1
bloom,904812.0,5,1
blow,5597229.0,4,2
blue,13285921.0,4,1
bluebird,31738.0,8,1
boar,309920.0,4,1
boar',309920.0,5,1
boar's,21230.0,6,1
board,13482309.0,5,1
bobbing,221230.0,7,1
body,64964918.0,4,2
bold,2562505.0,4,1
bomb,1356000.5,4,1
bone,4376162.0,4,1
bones',4376162.0,6,1
book,69504877.0,4,2
bore,2751591.0,4,1
botanical,395559.0,9,1
botanist,274558.0,8,2
both,116011743.0,4,1
bottom,12448707.0,6,2
bought,6604892.0,6,1
bow,2850894.0,3,1
boy,15012057.0,3,1
boys,11013213.0,4,1
bradford,737565.0,8,1
brass,1608799.0,5,1
break,4739864.0,5,1
breakfast,4103728.0,9,1
breaking',4739864.0,9,1
breathe,5932294.0,7,2
brick,3354147.0,5,2
bridge,6236020.0,6,1
brief,9517789.0,5,1
bright,6970967.0,6,1
brighter,705224.0,8,1
brightly,855309.0,8,1
brightness,1007383.0,10,1
bring,57708018.0,5,3
british,31315885.0,7,1
brook,439768.0,5,1
brother,19963734.0,7,2
brown,9564348.0,5,1
brunt,235149.0,5,1
brush,1150796.0,5,1
bubble,2168271.0,6,2
buds,653126.0,4,1
bug,78853.0,3,1
buildup,475319.0,7,1
bulb,920990.0,4,1
bulbs,585748.0,5,1
bundle,1489577.0,6,1
burn,4695068.0,4,2
burner,401502.0,6,1
burning,4921928.0,7,1
burnt,1370914.0,5,1
burst,3346798.0,5,1
buster,233013.0,6,1
busy,5424151.0,4,1
but,422070748.0,3,1
butter,2864124.0,6,1
buy,10703771.0,3,1
buyer,1815579.0,5,1
buzz,435991.0,4,1
by,877228367.0,2,1
call,101702070.0,4,2
calm,4147380.0,4,1
camouflage,350560.0,10,1
can,416290431.0,3,1
can't,66.0,5,1
candlelike,776.0,10,1
candy,1070570.0,5,1
cannot,66819566.0,6,1
capable,8807187.0,7,1
car,19890198.0,3,1
carcass,335947.0,7,1
card,5502348.0,4,1
careful,7678101.0,7,1
carefully,10230063.0,9,1
carriage,477421.0,8,1
carry,38731449.0,5,3
case,121845110.0,4,2
cast,7604932.0,4,1
catch,6166843.0,5,1
cause,30784148.0,5,1
caused,16335731.0,6,1
causing,5359951.0,7,1
celebrate,2597875.0,9,2
century,42601730.0,7,1
certain,43746770.0,7,1
certainly,15468602.0,9,1
chair,11403911.0,5,2
challenge,3000097.0,9,1
chance,13447740.0,6,1
change,37311795.0,6,1
changed,16742569.0,7,1
characterize,7084259.0,12,1
charles,14871871.0,7,1
check,12411063.0,5,1
cheer,850151.0,5,2
chest,6875624.0,5,1
chicanery,52872.0,9,1
child,55078698.0,5,2
child's,4721637.0,7,1
childhood,6646302.0,9,1
chirp,104585.0,5,1
chocolate,1891939.0,9,1
choice,19468150.0,6,1
choose,9821287.0,6,1
chronic,6072599.0,7,1
church,22128712.0,6,1
cigarette,2291328.0,9,1
circle,7524861.0,6,1
city,25415756.0,4,1
clack,38495.0,5,1
claim,12835191.0,5,1
claimed,8138532.0,7,1
class,42067820.0,5,1
classic,4407368.0,7,1
classify,3872694.0,8,1
clatter,472539.0,7,3
clean,10845704.0,5,2
clear,38464022.0,5,3
clever,1870677.0,6,1
cliff,1153934.0,5,1
climate,5928810.0,7,1
climb,2532328.0,5,1
cling,730204.0,5,1
clinician,916464.0,9,1
clone,517684.0,5,1
close,45109809.0,5,2
closer,8390061.0,6,1
cloud,6554700.0,5,2
cnn,468768.0,3,1
coat,4235100.0,4,1
cold,14949741.0,4,1
collapse,1678325.0,8,1
collar,269113.0,6,1
collection,13163156.0,10,1
color,4789634.0,5,1
combination,10668310.0,11,1
combine,9485910.0,7,1
come,151064955.0,4,3
comfort,4887104.0,7,1
command,207348.0,7,1
commence,651211.0,8,1
commerce,3795043.0,8,1
common,45510679.0,6,1
commonly,8554298.0,8,1
comparable,3778147.0,10,1
competition,10329180.0,11,1
complete,23000029.0,8,1
completely,14829586.0,10,1
complex,23142510.0,7,1
compression,2811014.0,11,1
compulsive,89300.0,10,1
computerized,742102.0,12,1
concert,2131949.0,7,1
conclude,7036244.0,8,1
conclusion,14061229.0,10,2
condition,55885204.0,9,2
conduct,19823843.0,7,2
conference,6698327.0,10,1
confident,1534364.5,9,1
confirm,5244834.0,7,1
confuse,3857034.0,7,1
confusion,5102421.0,9,1
conjectured,154349.0,11,1
connection,13490410.0,10,1
consider,38186219.0,8,2
conspiracy,1611982.0,10,1
constitute,3442050.0,10,1
consult,1505383.0,7,1
contain,9402181.0,7,1
contamination,1718540.0,13,1
contest,2238178.0,7,1
contested,1118727.0,9,1
continue,22965798.0,8,2
contract,20489826.0,8,3
controversial,2695317.0,13,1
controversy,3293733.0,11,1
convince,5274085.0,8,1
cooccurs,9639.0,8,1
coordinate,1476982.0,10,1
coot,32122.0,4,1
coprolalia,4685.0,10,1
corn,3418741.0,4,1
corner,10957482.0,6,2
corps,543488.0,5,1
correct,13073361.0,7,1
correthers,1.0,10,1
cost,31212232.0,4,1
could,205904563.0,5,1
could've,161022.0,8,1
couleren,1.0,8,1
count,6722362.0,5,1
counterargument,26349.0,15,1
countryside,2140605.0,11,1
couple,11386681.0,6,1
course,51745541.0,6,1
court,28250928.0,5,1
cover,18122702.0,5,2
coverup,125636.0,7,1
covet,349403.0,5,1
cozy,405261.0,4,1
crack,2946791.0,5,1
craft,2700090.0,5,1
craftsman,272784.0,9,1
crash,2616876.0,5,2
create,22166125.0,6,1
creative,6663180.0,8,1
creature,3163415.0,8,1
credibility,1901995.0,11,1
creep,620140.0,5,1
crept,917285.0,5,1
crest,154346.0,5,1
critic,4777049.0,6,1
crowd,7498199.0,5,2
crowds',101873.0,7,1
cry,8417576.0,3,2
cuckoo,135934.0,6,1
cultivate,2538067.0,9,2
cultivation,2342402.0,11,1
culture,29727119.0,7,1
cunning,777409.0,7,1
curious,3670543.0,7,1
curls,592426.0,5,1
current,30595808.0,7,1
curtain,2488821.0,7,2
curve,7553731.0,5,1
cut,25054366.0,3,2
cute,676322.0,4,1
